Instance_ID x_center y_center
0 42.0 5676.0
1 6060.0 7224.0
2 6252.0 7224.0
3 9228.0 7224.0
4 12490.0 5580.0
5 12490.0 4236.0
6 12490.0 4044.0
7 7884.0 7224.0
8 6444.0 7224.0
9 4812.0 7224.0
10 3468.0 7224.0
11 42.0 5100.0
12 5292.0 7224.0
13 42.0 3756.0
14 42.0 2892.0
15 42.0 2220.0
16 3948.0 42.0
17 5964.0 42.0
18 7020.0 42.0
19 6252.0 42.0
20 8460.0 7224.0
21 12490.0 5004.0
22 7116.0 7224.0
23 3852.0 7224.0
24 12490.0 3084.0
25 7212.0 7224.0
26 42.0 4524.0
27 42.0 4044.0
28 42.0 2988.0
29 42.0 1644.0
30 4140.0 42.0
31 5292.0 42.0
32 6924.0 42.0
33 7020.0 7224.0
34 6924.0 7224.0
35 7308.0 7224.0
36 5964.0 7224.0
37 6636.0 42.0
38 8748.0 42.0
39 12490.0 4620.0
40 12490.0 2028.0
41 12490.0 2892.0
42 12490.0 3564.0
43 4908.0 7224.0
44 4140.0 7224.0
45 4044.0 7224.0
46 42.0 3852.0
47 42.0 3084.0
48 4716.0 42.0
49 4812.0 42.0
50 5772.0 42.0
51 7116.0 42.0
52 7404.0 7224.0
53 7596.0 7224.0
54 9153.0 5805.0
55 5373.0 3645.0
56 5481.0 4185.0
57 4509.0 6075.0
58 4995.0 6075.0
59 6183.0 5265.0
60 5454.0 2835.0
61 6210.0 2295.0
62 6237.0 2565.0
63 7020.0 2565.0
64 7290.0 3105.0
65 4401.0 4455.0
66 4077.0 4455.0
67 4104.0 3645.0
68 3213.0 3915.0
69 3753.0 3645.0
70 4509.0 3645.0
71 5292.0 3105.0
72 7560.0 2295.0
73 7803.0 2295.0
74 7668.0 2835.0
75 7722.0 3105.0
76 9639.0 2835.0
77 9288.0 2835.0
78 8802.0 3375.0
79 8424.0 3105.0
80 9612.0 2565.0
81 9774.0 3915.0
82 9072.0 3915.0
83 8100.0 3105.0
84 7803.0 3375.0
85 4563.0 3915.0
86 8721.0 3915.0
87 6858.0 4455.0
88 4671.0 2025.0
89 3159.0 4185.0
90 5886.0 4455.0
91 6912.0 4995.0
92 6966.0 6075.0
93 7020.0 5805.0
94 6588.0 4995.0
95 7668.0 5805.0
96 7317.0 6075.0
97 5481.0 3915.0
98 5157.0 3645.0
99 7884.0 6075.0
100 6669.0 4725.0
101 6912.0 4725.0
102 7236.0 4725.0
103 3321.0 2565.0
104 7722.0 5265.0
105 7317.0 5805.0
106 7263.0 4995.0
107 7425.0 2025.0
108 5859.0 1215.0
109 3915.0 2295.0
110 3645.0 2295.0
111 3213.0 3105.0
112 2295.0 3915.0
113 2835.0 4455.0
114 3267.0 5265.0
115 5103.0 4995.0
116 7965.0 3915.0
117 11205.0 3375.0
118 10017.0 2835.0
119 9693.0 4995.0
120 9045.0 4995.0
121 6507.0 3375.0
122 6858.0 3915.0
123 5832.0 3645.0
124 6210.0 4995.0
125 7344.0 2835.0
126 8019.0 2835.0
127 8370.0 3375.0
128 7614.0 3645.0
129 7992.0 3645.0
130 1998.0 3645.0
131 6372.0 6075.0
132 6480.0 5805.0
133 5508.0 5805.0
134 6885.0 4185.0
135 3186.0 1485.0
136 6480.0 3645.0
137 2349.0 1755.0
138 6264.0 2835.0
